,0,1,2,3,4,5,6,7,8,9,10,11
1,14.19,27.00,15.57,9.86,12.71,4.11,3.23,2.11,3.28,3.68,1.21,3.05
2,12.57,34.69,23.36,10.62,6.19,5.49,2.30,3.01,1.06,0.71,0.00,0.00
3/i,4.55,29.87,13.64,15.58,7.14,7.79,5.84,1.95,3.90,2.60,1.30,5.84
3/ii,2.14,25.21,14.10,2.56,7.69,12.39,12.82,8.12,3.85,5.13,2.99,2.99
3/iii,1.25,25.63,22.50,5.63,7.50,7.50,8.75,3.75,3.13,1.25,5.63,7.50
3/iv,3.98,21.89,15.42,8.96,17.91,5.97,6.47,4.98,3.48,6.47,1.49,2.99
3/v,6.77,46.24,4.89,8.27,10.90,3.76,6.02,3.38,4.14,2.26,1.50,1.88
4/i,13.54,31.83,11.29,7.22,8.80,5.87,7.45,3.84,4.51,3.39,1.58,0.68
4/ii,1.27,39.68,13.33,4.76,6.67,6.35,7.30,2.22,2.86,3.81,4.13,7.62
4/iii,3.30,28.57,20.51,5.86,11.72,8.06,7.69,4.40,4.03,0.73,0.73,4.40
4/iv,12.36,34.83,17.98,12.36,5.62,7.87,0.00,3.37,2.25,2.25,0.00,1.12
4/v,7.59,41.96,28.57,3.57,5.80,3.13,2.68,0.45,2.68,3.13,0.00,0.45
5/i,22.35,18.27,10.69,8.94,6.32,5.34,4.28,3.11,8.94,2.62,1.85,7.29
5/ii,6.25,28.13,25.00,3.13,10.42,9.38,4.17,1.04,2.08,6.25,0.00,4.17
5/iii,8.16,25.00,7.11,15.26,13.68,2.89,7.63,0.79,12.63,1.32,2.11,3.42
5/iv,1.14,13.64,11.36,7.95,26.14,15.91,10.23,3.41,6.82,1.14,1.14,1.14
5/v,16.16,7.86,12.66,14.41,16.16,11.35,4.80,2.18,7.86,2.18,0.44,3.93
6/i,4.49,27.56,19.55,15.38,14.10,6.41,3.53,0.32,7.05,0.96,0.32,0.32
6/ii,38.48,24.61,14.31,6.01,5.29,1.72,3.00,2.29,1.43,0.86,1.14,0.86
6/iii,38.75,8.75,13.75,12.50,8.75,8.75,2.50,0.00,2.50,3.75,0.00,0.00
6/iv,46.93,31.84,10.06,4.47,3.07,1.12,1.96,0.28,0.28,0.00,0.00,0.00
6/v,14.60,21.53,23.72,17.52,4.74,13.14,1.46,0.36,1.82,1.09,0.00,0.00
6/vi,23.91,38.70,22.17,3.91,2.17,1.30,0.87,0.43,4.35,0.43,0.43,1.30
7/i,0.00,16.67,51.67,10.00,3.33,1.67,3.33,0.00,3.33,5.00,0.00,5.00
7/ii,25.17,19.43,11.32,8.61,8.28,3.72,4.56,3.04,7.09,3.04,2.70,3.04
7/iii,7.84,29.41,7.84,1.96,5.88,21.57,7.84,5.88,7.84,0.00,0.00,3.92
7/iv,18.03,25.41,11.48,4.92,9.84,7.38,7.38,5.74,2.46,3.28,1.64,2.46
8/i,19.76,16.77,15.57,10.18,5.99,6.59,5.39,1.20,7.19,1.80,0.60,8.98
8/ii,6.57,23.36,13.87,8.03,6.57,8.03,9.49,1.46,6.57,4.38,2.92,8.76
10/i,8.51,23.40,23.40,6.38,6.38,2.13,4.26,2.13,10.64,0.00,2.13,10.64
9/iii,21.21,9.09,19.19,6.06,7.07,6.06,15.15,7.07,1.01,4.04,1.01,3.03
9/iv,50.57,19.54,0.00,2.30,4.60,2.30,9.20,2.30,2.30,2.30,1.15,3.45
9/v,21.05,5.26,21.05,5.26,10.53,10.53,5.26,5.26,0.00,0.00,5.26,10.53
9/vi,6.58,5.26,13.16,7.89,10.53,6.58,9.21,3.95,11.84,9.21,3.95,11.84
10/ii,15.52,19.83,13.79,11.21,10.34,4.31,4.31,2.59,4.31,5.17,0.00,8.62
9/i,5.56,9.72,26.39,4.17,8.33,5.56,12.50,4.17,8.33,6.94,0.00,8.33
10/iv,56.67,6.67,10.00,0.00,3.33,0.00,10.00,0.00,0.00,0.00,0.00,13.33
10/iii,72.12,17.26,0.88,0.44,1.77,0.44,1.33,1.77,0.88,1.77,0.44,0.88
9/ii,19.79,12.50,9.38,8.33,9.38,11.46,6.25,4.17,3.13,5.21,3.13,7.29
10/v,23.08,21.30,8.28,5.33,6.51,7.69,6.51,5.33,6.51,1.78,1.78,5.92
13/ii,8.67,21.39,10.98,11.56,11.56,5.20,7.51,1.73,4.05,2.89,3.47,10.98
11/i,3.57,14.29,0.00,25.00,14.29,7.14,10.71,0.00,7.14,0.00,3.57,14.29
11/ii,3.17,17.46,15.87,7.94,7.94,11.11,6.35,3.17,6.35,4.76,4.76,11.11
11/iii,0.00,22.22,0.00,0.00,11.11,0.00,0.00,11.11,11.11,11.11,11.11,22.22
12/i,2.47,10.49,20.99,13.58,12.35,8.02,9.26,4.32,8.02,4.94,1.85,3.70
12/iii,1.75,20.41,9.91,10.20,12.24,8.75,8.16,4.96,6.41,5.54,5.25,6.41
12/iv,1.63,28.80,10.33,8.15,9.78,5.43,10.87,3.80,7.61,3.80,1.63,8.15
12/ii,1.90,32.70,9.21,10.16,6.03,6.98,9.21,3.49,5.40,4.13,3.81,6.98
13/i,7.95,31.80,7.53,7.53,9.83,6.49,8.37,2.93,4.81,2.72,2.30,7.74
14/iv,0.78,36.24,9.88,9.88,7.17,6.59,6.20,2.52,3.88,1.74,1.74,13.37
13/iii,15.74,37.31,6.35,7.87,4.82,5.84,4.82,2.79,5.08,2.03,0.51,6.85
15/v,10.03,27.51,21.04,9.71,11.00,5.50,5.83,1.29,1.62,0.65,0.97,4.85
13/iv,0.92,21.54,10.46,14.77,9.85,7.69,5.85,2.15,6.77,4.31,2.77,12.92
14/iii,10.56,22.22,3.89,9.44,8.89,9.17,6.39,4.17,6.39,3.33,2.50,13.06
14/vi,11.14,32.26,3.52,10.26,6.45,5.28,5.57,3.81,6.45,2.93,1.76,10.56
14/v,7.20,20.80,5.20,9.60,11.20,7.60,5.60,4.00,7.60,3.60,3.20,14.40
14/ii,12.04,16.99,3.44,10.54,8.82,8.60,6.45,3.44,7.53,4.30,2.80,15.05
14/i,5.43,18.09,5.68,11.89,8.01,8.79,8.53,3.36,6.46,5.17,1.81,16.80
15/i,22.74,21.19,6.72,8.53,7.75,2.84,5.68,3.36,5.94,4.39,2.58,8.27
15/iii,8.70,20.95,5.14,10.28,10.67,5.53,6.72,3.56,3.95,4.74,4.35,15.42
15/ii,2.43,20.49,4.86,11.11,11.81,5.21,5.21,3.82,5.56,5.21,3.13,21.18
15/iv,2.60,16.88,3.90,12.99,12.34,9.09,6.49,0.65,5.84,5.84,4.55,18.83
16/ii,0.00,17.78,11.11,22.22,13.33,6.67,0.00,0.00,11.11,0.00,2.22,15.56
16/iii,0.00,23.26,4.65,13.95,9.30,13.95,4.65,0.00,9.30,6.98,0.00,13.95
16/iv,0.00,14.58,2.08,18.75,12.50,8.33,6.25,0.00,10.42,6.25,2.08,18.75
16/v,0.00,28.00,5.33,12.00,0.00,13.33,6.00,4.00,4.00,2.00,2.00,23.33
16/i,2.45,22.70,5.52,13.50,14.72,1.84,4.29,3.68,6.75,3.68,0.00,20.86
17/i,30.41,20.00,1.10,4.66,4.66,5.21,4.38,2.47,3.84,3.29,1.64,18.36
17/iii,25.34,18.24,2.70,6.76,5.74,3.04,4.39,0.68,5.41,6.42,0.68,20.61
17/ii,14.11,12.88,3.07,9.82,5.52,8.90,8.90,2.45,5.52,6.13,4.91,17.79
18/i,7.07,12.54,9.32,10.29,9.97,9.32,4.18,2.57,7.72,8.04,4.82,14.15
18/ii,2.97,13.04,8.92,9.38,8.24,12.36,6.86,4.12,8.24,6.18,4.35,15.33
18/iii,11.71,18.87,3.25,8.68,11.28,4.12,4.56,2.17,9.98,4.56,2.60,18.22
19/i,29.38,9.79,7.44,10.08,6.31,7.34,4.90,3.11,7.06,4.71,2.73,7.16
19/ii,34.51,8.27,7.70,8.65,7.89,5.70,4.56,1.90,5.42,3.52,3.23,8.65
20/ii,8.65,19.64,6.98,6.93,5.57,9.11,4.96,2.88,8.40,3.95,4.10,18.83
20/i,18.62,18.62,3.95,7.74,4.28,7.58,4.45,1.15,7.58,4.12,3.62,18.29
21/ii,46.24,12.05,2.78,5.46,4.12,3.40,4.12,2.47,3.19,3.81,0.82,11.53
21/i,4.15,28.11,1.84,13.82,2.76,6.68,2.30,2.76,2.76,4.84,2.76,27.19
22/ii,4.48,17.06,11.05,11.33,7.13,5.45,7.41,2.10,5.03,5.31,4.90,18.74
22/i,3.49,13.55,2.67,12.94,4.72,11.50,8.21,1.64,9.45,3.29,4.31,24.23
23/iii,3.17,14.70,8.36,12.39,13.83,7.20,6.34,2.59,10.37,5.76,5.19,10.09
23/ii,2.01,12.08,10.07,15.77,10.74,7.05,7.38,4.70,9.73,9.06,5.03,6.38
23/i,3.41,13.45,9.28,12.88,12.12,8.52,7.39,3.41,10.23,6.25,5.11,7.95
24/i,1.55,15.89,3.31,7.73,18.32,3.31,2.43,2.87,18.10,4.42,3.97,18.10
25/i,2.96,12.59,5.93,25.19,5.19,5.93,1.48,2.22,3.70,10.37,5.93,18.52
24/ii,0.00,16.81,5.31,12.39,30.53,6.19,3.98,0.00,11.50,0.88,3.54,8.85
24/iii,3.23,21.70,11.14,3.52,13.49,2.35,4.99,4.40,20.23,0.59,2.35,12.02
25/iii,2.20,13.22,9.69,17.18,8.37,14.54,4.85,3.96,3.96,7.05,4.41,10.57
25/ii,6.15,15.08,11.38,15.38,6.46,6.77,3.38,2.46,7.38,11.69,4.31,9.54
26,7.69,23.70,4.34,17.37,11.54,1.24,0.25,0.50,10.67,5.96,1.24,15.51
27/iii,2.41,12.03,13.37,11.50,6.95,11.76,5.61,4.81,7.49,6.68,5.61,11.76
27/i,3.20,11.47,11.47,12.80,10.93,8.00,8.00,3.73,9.87,2.93,5.07,12.53
27/ii,10.00,6.88,15.63,11.25,12.50,11.25,8.75,0.00,10.00,2.50,7.50,3.75
28/iii,6.72,22.58,1.88,15.86,6.45,0.54,0.27,0.00,7.80,12.10,0.27,25.54
28/i,1.27,26.14,1.52,11.17,6.85,3.55,1.52,2.03,5.84,9.39,1.02,29.70
28/ii,0.00,25.34,1.57,19.28,12.11,0.00,0.00,0.90,9.19,8.74,0.00,22.87
29/ii,2.90,25.84,2.45,10.24,12.47,1.56,2.90,1.56,8.46,5.79,0.67,25.17
29/i,1.69,21.94,3.38,16.46,23.21,0.00,0.00,0.00,16.88,7.59,0.42,8.44
29/iii,5.07,25.91,3.26,18.48,11.23,1.09,0.54,0.18,11.05,8.70,1.27,13.22
30,26.13,14.41,0.90,17.12,0.64,5.92,0.39,1.29,0.90,9.27,1.03,22.01
31/iv,0.00,23.53,0.00,7.84,25.49,13.73,0.00,0.00,15.69,0.00,0.00,13.73
31/v,2.66,29.71,1.21,5.80,23.19,6.04,0.72,0.48,14.98,4.59,0.00,10.63
31/vi,2.10,20.17,0.00,6.30,30.67,10.08,0.00,0.00,18.07,2.94,0.42,9.24
31/i,4.17,20.00,0.00,2.50,13.33,8.33,1.67,0.00,25.83,1.67,0.00,22.50
31/ii,2.89,14.08,0.00,5.78,16.61,5.78,0.36,1.44,20.94,2.53,0.36,29.24
31/iii,0.16,24.24,0.16,6.38,24.56,8.29,0.32,1.59,20.73,1.59,0.00,11.96
